method,lib_limit,sublibs,n_covered,total_lib_size,time,max_mem
DeCoDe,100000,1,21,86016,66.1,907224.0
DeCoDe,100000,2,38,98304,12391.0,2528036.0
DeCoDe,1000000,1,26,884736,131.3,996936.0
DeCoDe,1000000,2,45,952320,17752.0,2582496.0
DeCoDe,10000000,1,32,8257536,52.79,890240.0
DeCoDe,10000000,2,50,7372800,6676.0,2463280.0
DeCoDe,100000000,1,38,66060288,61.14,555376.0
DeCoDe,100000000,2,57,94371840,7228.0,2512452.0
DeCoDe,1000000000,1,42,668860416,65.38,847152.0
DeCoDe,1000000000,2,62,759693312,4546.0,2463904.0
SwiftLib,100000,1,6,98304,37.56,265696.0
SwiftLib,100000,2,9,98304,38.49,267200.0
SwiftLib,1000000,1,10,786432,37.54,265880.0
SwiftLib,1000000,2,18,786432,38.79,285244.0
SwiftLib,10000000,1,18,7340032,38.38,264196.0
SwiftLib,10000000,2,18,9437184,35.53,281820.0
SwiftLib,100000000,1,23,66060288,38.45,278128.0
SwiftLib,100000000,2,24,84934656,37.0,273808.0
SwiftLib,1000000000,1,24,792723456,36.44,266812.0
SwiftLib,1000000000,2,27,764411904,37.77,266384.0
